Song Name,Song ID,Genres,Year,Main Genres
Yo Quisiera Amarla,7Ln0OEpEiFDMwxHfEMP5aM,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']",2009,"Hip hop Music, Pop Music"
It Kills Me,6qU37BgVfPhpb2rhYzZWrF,"['canadian pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",2009,Pop Music
The Permanent Rain,4SJIVblEnmdhUHnCjanfsE,"['anthem emo', 'neon pop punk', 'pop emo', 'pop punk']",2009,Pop Music
Stuff We Did,19blFYzqmPj7FtW7W4DFEl,"['orchestral soundtrack', 'soundtrack']",2009,
I Look Good,65PAx3F8JYA1dJNufkn8Tm,['dirty south rap'],2009,
Holding Out for a Hero - Single Version,3qE6p9fN4YeILT0cQcY1cD,"['europop', 'new wave pop', 'soft rock']",2009,"Pop Music, Rock Music"
Quién De Los Dos Será,66veRqqrxhfa1Q9088RmPS,"['latin pop', 'ranchera']",2009,Pop Music
Vanilla Twilight,0vCTQcxSGAgjHaiAsIANKn,"['indietronica', 'pop']",2009,Pop Music
I'm On A Boat,3IQSYqnKsCTMLWn2xE3HFT,"['comedy rap', 'comic']",2009,
Tu Jueguito,6Ezrvk64WB6scceSL3lDjp,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']",2009,"Hip hop Music, Pop Music"
Cooler Than Me,2V4bv1fNWfTcyRJKmej6Sj,"['dance pop', 'pop', 'pop dance', 'pop rap']",2009,Pop Music
On To The Next One,4ljDnzzqwnRIynr1g55um4,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",2009,"Hip hop Music, Pop Music"
Such Great Heights,4G21jWo0Cm6lOIUNnZ2mUI,"['chamber pop', 'indie rock', 'indietronica', 'seattle indie']",2009,"Pop Music, Rock Music"
Favorite Girl,4nTjkWK590oBDcnIxTr1mI,"['canadian pop', 'pop']",2009,Pop Music
Give Me A Sign,6BWrIaoodtt7EX6kToWZw0,"['alternative metal', 'nu metal', 'post-grunge']",2009,Metal Music
Sleep Apnea,6XyjwF7CAwuEaW77noJr6I,"['brooklyn indie', 'dreamo', 'indie garage rock', 'indie rock', 'indie surf', 'noise pop', 'popgaze', 'shoegaze']",2009,"Pop Music, Rock Music"
Panic Switch,597i9UhHbW8hHgBUp8Tm54,"['alternative rock', 'indie rock', 'la indie', 'modern alternative rock', 'modern rock']",2009,Rock Music
Recuerdo,7nre1SawsHWV0CCBZ5BCS5,"['musica mexicana', 'norteno']",2009,
O Sol e a Lua,3owhYx6COK6OzHMlX24MGz,['musica infantil'],2009,
May It Be,0zvv76DEro0MMox8eLbK7D,"['celtic', 'middle earth', 'operatic pop']",2009,Pop Music
Raindrops Keep Fallin' on My Head - Rerecorded,1oOnOS4xNZOMpCT0lKTNo2,"['adult standards', 'bubblegum pop', 'classic country pop', 'folk rock', 'mellow gold', 'soft rock']",2009,"Folk Music, Pop Music, Country Music, Rock Music"
Without You,1KMkcUvF7m3SDChDOa7i5L,['australian hip hop'],2009,Hip hop Music
La Gran Señora,3Q9Q9rYI2hwYZNl0Mmc2FB,"['banda', 'mariachi', 'musica mexicana', 'ranchera', 'regional mexicano femenil']",2009,
