Song Name,Song ID,Genres
I'm on Fire,3PzsbWSQdLCKDLxn7YZfkM,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter"
Drinkin' Dark Whiskey,2Kh2C5PbekvEilbCOTzTt1,"bluegrass, modern southern rock, neo-traditional bluegrass, new americana"
I Caught Myself,0NDKrxRuw0H3tZxbpYIhze,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock"
Can I Have This Dance,6YXG34IWbilypPwjBTOrUC,"movie tunes, post-teen pop"
Tú No Eres Para Mi,3df4fSoW5zsdNi5Wf3K5RP,"colombian pop, latin pop, reggaeton"
Hate That I Love You,669Zz4glMcFwFl1BRltkXP,"barbadian pop, pop, urban contemporary"
Welcome To Heartbreak,3F18I7LhWKxlf1PytSoTBH,"chicago rap, hip hop, rap"
Snuff,3RptaQ5Xb8WvtpItZ2f9Hi,"alternative metal, nu metal, rap metal, rock"
Bloodhail,5qZ4c1EBVWpmz1GBaks8Uq,"blackgaze, doomgaze, dream pop, nu gaze"
This Is Me,7kt9e9LFSpN1zQtYEl19o1,pop
Under My Skin,0uXhQHd0wYV9gvXyMcpnQj,modern country pop
Flower,0De9jFjJ4eRLl7Yww2eBw1,modern country pop
I Run To You,2YVCkTYJpv5jelYrHYoEG8,"contemporary country, country, country dawn, country pop, country road"
You've Seen the Butcher,0oHj2DHtNVWEgBqOa1bejc,"alternative metal, nu metal, rap metal, rock, sacramento indie"
Calabria 2008,5Y2pr8wjzjO2te4MnxTUa7,reggae fusion
Lights Out,4lFp9RYuggXl9CNyaxBtgh,"dark trap, oc rap, scream rap"
