Song Name,Song ID,Genres,Year
Pink Maggit,0FrT8a39eo6siL1yIxVGTP,"alternative metal, nu metal, rap metal, rock, sacramento indie",2000
Born to Fly,1zmvaeDthBdtthb4RgYr9a,"contemporary country, country, country dawn, country gospel, country road",2000
Drug Ballad,7tEoJKbYdIHBfn7tTIyjHW,"detroit hip hop, hip hop, rap",2000
The Way,2eAZfqOm4EnOF9VvN50Tyc,"hip hop, melodic rap, philly rap, rage rap, rap",2000
We Never Change,5TB6QgrF0RPIxSCGfRDLoe,"permanent wave, pop",2000
Laputa,2zYBRyHAy6dv1wb53JXFD7,diy emo,2000
Untitled (How Does It Feel),4oPNN7syJYSjzDhRerF966,"indie soul, neo soul, soul",2000
Marshall Mathers,3X4Oz9LjhhtgyOhVNlfoYa,"detroit hip hop, hip hop, rap",2000
Raquenel Villanueva,71rQncW9uGaAg4QplpEbeL,"corrido, musica mexicana, norteno",2000
"To Be Young (Is to Be Sad, Is to Be High)",0aLk2Za7r0eGlLOepW2hzL,"alternative country, new americana, roots rock, singer-songwriter",2000
Between Me & You,4xwRtK6tfMp4yZwcDvY0gT,"dance pop, east coast hip hop, gangster rap, hip hop, hip pop, pop rap, queens hip hop, rap, urban contemporary",2000
No Cigar,3KLkRy9l3us98SIp6mmxkk,"pop punk, punk, skate punk",2000
Minority,4qjfQnccStTR8zNsb6Mizo,"modern rock, permanent wave, punk, rock",2000
Danger (Been So Long) (feat. Nivea),0e42i89bY2NmPuVDtey8pg,"crunk, dirty south rap, gangster rap, new orleans rap",2000
It Feels So Good,4Y8q64VnhD0vFYy9g2WFpi,,2000
Ghost Town,7vgTNTaEz3CsBZ1N4YQalM,"chicago rap, hip hop, rap",2000
Lay Low,0zKbDrEXKpnExhGQRe9dxt,"big room, brostep, dutch edm, edm, house, pop dance, slap house, trance",2000
Get Your Roll On,4HpCT9jeCzBfpCaF3aTVWX,"crunk, dirty south rap, new orleans rap",2000
Rainbows & Stuff,06s8Hm0KYqAeEYThm0cfKw,"rap rock, viral rap",2000
"Ante Up (feat. Busta Rhymes, Teflon & Remi Martin) - Remix",5osSw3tL07Tuid7AWsvYcc,"east coast hip hop, hardcore hip hop",2000
The Call,09mEdoA6zrmBPgTEN5qXmN,"canadian contemporary r&b, canadian pop, pop",2000
Gravity Rides Everything,1pPqVrG2RCHXx81Aw4xp99,"alternative rock, chamber pop, indie rock, indietronica, modern rock, washington indie",2000
I'm Like A Bird,2aGw77pZqli064JiPuXYRi,"canadian latin, canadian pop, dance pop, pop",2000
