Song Name,Song ID,Genres,Main Genres
Patiently Waiting,3ORfa5ilEthp2U0TRcv7kv,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']","['Hip hop Music', 'Pop Music']"
Killing Me Softly With His Song,0Q0IVlqMV64kNLlwjPj0Hl,"['east coast hip hop', 'hip hop', 'neo soul', 'new jersey rap']",['Hip hop Music']
Thrown Down,4ffoKyYY6ElVpxUpE48jOc,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",['Rock Music']
Si Tu Amor No Vuelve,0qdXhtNnihSMutX2UDK2uv,"['corrido', 'musica mexicana', 'sad sierreno', 'sierreno']",[]
Fuck Me Pumps,3ku4ScVEkZvurrcjmMrOAL,"['british soul', 'neo soul']",[]
Vuelve Conmigo,6RIxa9MZvemFe89YAZGD2J,"['banda', 'musica chihuahuense', 'musica mexicana', 'norteno']",[]
My Last Breath,2aUuMeSbt2aEv94MdG2BYS,['alternative metal'],[]
Dsco,1OKkG3vxEuBBwLw1gCqdNW,"['dream pop', 'glitchbreak', 'shoegaze']",['Pop Music']
Yo no Soy Tu Marido,2h9ymIolsmYaqwtxn69fXj,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']","['Hip hop Music', 'Reggae Music']"
The Rain,2WRzpLD8qDRrxMXc63E5WJ,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop']","['Hip hop Music', 'Pop Music']"
Crystal Baller,2TTmk2xlPcdzQnrTHJQP8G,"['alternative metal', 'alternative rock', 'pop rock', 'post-grunge']","['Pop Music', 'Rock Music']"
People Get Up And Drive Your Funky Soul - Remix,5U3i59kbTLrxo46TU1FRnF,"['funk', 'soul']",[]
Witchy Woman - 2013 Remaster,436yrzQWA32vb1sTZKXg9r,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",['Rock Music']
Sentimento Original,221XD85dLV8jiMyrEz1JBQ,"['latin alternative', 'latin rock', 'reggae en espanol', 'rock en espanol']","['Reggae Music', 'Rock Music']"
Trying To Find A Balance,0t1ABSWS7ucgY5hqueJ7HY,"['alternative hip hop', 'conscious hip hop', 'minnesota hip hop']",['Hip hop Music']
La Pelicula,4MSVpbF5oOFyOxpsmbFAsH,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']","['Hip hop Music', 'Pop Music']"
Ride wit U (feat. G-Unit),6EhWEvgOrOfqMcnuwIkbiL,"['contemporary r&b', 'r&b', 'urban contemporary']",[]
Anthems For A Seventeen Year-Old Girl,0VXp4zDspR993l2hIKW17g,"['alternative rock', 'baroque pop', 'canadian indie', 'canadian rock', 'indie rock', 'noise pop']","['Pop Music', 'Rock Music']"
Bleed to Love Her,2hl6XZ8nztFfVDv2qHPnwt,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",['Rock Music']
"Endless Love - From ""The Endless Love"" Soundtrack",0rt0dZ11FVsvprbarag5tk,"['disco', 'soft rock']",['Rock Music']
Tiny Vessels,3VpC5W5qYQk6IiDLiHBfCk,"['alternative rock', 'chamber pop', 'indie rock', 'indietronica', 'modern rock', 'seattle indie', 'washington indie']","['Pop Music', 'Rock Music']"
Who I Am,0N9C6owb2juxsvAFESepTe,[],[]
Five Little Monkeys,7nomq2qRQrg4ecFxvHLy0c,"[""children's music"", 'nursery']",[]
Violence,6oRvk7PJW3PDKFZkEvJNkq,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']","['Pop Music', 'Rock Music']"
Second Heartbeat,3hmX5dfwY9oRIpJKvt755u,"['alternative metal', 'nu metal']",[]
Lágrimas De Cristal,33Z5OxL78B6gGbq1GWIfb5,"['banda', 'duranguense', 'grupera', 'musica mexicana', 'norteno']",[]
Tell It to My Heart,46nvQpUDsxpS08UTFOeKTA,"['edm', 'pop dance', 'pop house', 'uk dance']",['Pop Music']
Zoe Jane,6WrOZ59ScdQXE24zcYNyyA,"['alternative metal', 'nu metal', 'post-grunge']",[]
"Get Up, Stand Up",4hLATN2VtjiJ6jLm6V47x1,"['reggae', 'roots reggae']",['Reggae Music']
Mr Magic (Through The Smoke),4bjmPbbudPDelbHzL8dxh2,"['british soul', 'neo soul']",[]
Ni Que Tuvieras Tanta Suerte,0OzRg0JDqxDDxtmKn2GUVi,"['banda', 'musica mexicana', 'norteno']",[]
The End Has No End,0dy6iXYIF0piirySAzCBwF,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",['Rock Music']
Say You Will,5e5MKPtJuFb8NaeSEyV5gD,"['chicago rap', 'hip hop', 'rap']",['Hip hop Music']
Caught In The Rain,1aWjCUq4KU7wCdQ2AuGeB7,['post-grunge'],[]
Transdermal Celebration,0sll2PXvdsst1w51S2TsHN,['alternative rock'],['Rock Music']
You Talk Way Too Much,6lnnaGN20kl0jEYJSxCgU9,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",['Rock Music']
Staring at the Sun,5KE9b4x7Zj2A8XtbkqhqTe,"['dfw rap', 'melodic rap', 'pop', 'rap']",['Pop Music']
Heart Of Gold,36X97rcBwZSa79eNfM1kKN,"['funk', 'soul']",[]
Look At Miss Ohio,5vPRCX0Bj8O374jTCAQRLS,"['alternative country', 'canadian singer-songwriter', 'folk', 'melancholia', 'nashville singer-songwriter', 'new americana', 'progressive bluegrass', 'singer-songwriter']","['Folk Music', 'Country Music']"
Where I End and You Begin,2dDqsUr11Mv0qhXByNfbJx,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",['Rock Music']
The Bitter End,2yYASbXnAV71CLbNY1HCWf,"['alternative rock', 'britpop', 'permanent wave', 'rock']","['Pop Music', 'Rock Music']"
Funeral Bell,1nhYiZeuJI3jEabbxKhjfH,"['alternative metal', 'groove metal', 'hard rock', 'metal', 'nu metal']",['Rock Music']
What Up Gangsta,1CYyIsAaTrnmJ8MO2rec5f,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']","['Hip hop Music', 'Pop Music']"
I'm Sorry,3dqxngWDgh4tb0VSb83nvc,"['boston hip hop', 'hip hop', 'pop rap', 'rap']","['Hip hop Music', 'Pop Music']"
Because of You,6CFPFnS9EcLs2I0nWqtWci,"['dance pop', 'pop', 'r&b', 'urban contemporary']",['Pop Music']
Dembow,0FkD2FHEZrZIofVkY6XPFK,[],[]
Comin' from Where I'm From - Radio Mix,6UeROtzgj12WLgZx3033G6,"['contemporary r&b', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",[]
Escolta Suicida (El Corrido de los Zetas) - Remix,2sKZebrstYwLcXsQBIAIVO,"['corrido', 'musica mexicana', 'norteno']",[]
